Sr. No.	File Name	Program Detail / Question
1	hello_world.java	Write a JavaScript program to print "Hello World" on the console.
2	print_info.java	Write a program to print your name, age, and city using variables.  
3	declare_vars.java	Declare two variables, assign values to them, and print both.
4	var_let_const.java	Declare variables using var, let, and const and observe their differences.
5	store_integer.java	Store an integer value in a variable and print it.
6	store_float.java	Store a floating-point number in a variable and print it.
7	store_string.java	Store a string value in a variable and print it. 
8	store_boolean.java	Store a boolean value (true/false) in a variable and print it..  
9	typeof_check.java	Use typeof operator to print the data type of different variables. .  
10	undefined_var.java	Create a variable without assigning a value and print its output..  
11	null_var.java	Assign null to a variable and print it along with its typeof..  
12	string_concat.java	Concatenate two strings using + operator and print the result. - 
13	template_literal.java	Use template literals (backticks) to print a formatted sentence with variables. 
14	swap_no_third.java	Swap the values of two variables without using a third variable.  
15	swap_with_third.java	Swap the values of two variables using a third temporary variable.  
16	multi_console_log.java	Print multiple variables in a single console.log() statement. 
17	17_const_modify.java	Declare a constant and try to modify it — observe the error.
18	18_large_number.java	Store a very large number in a variable and print it.
19	19_sci_notation.java	Store a number in scientific notation (e.g. 5e6) and print it.
20	20_multiline_string.java	Print a multiline string using template literals or \n escape character.
21	21_add_two.java	Write a program to add two numbers and print the result.
22	22_subtract_two.java	Write a program to subtract one number from another.
23	23_multiply_two.java	Write a program to multiply two numbers.
24	24_divide_two.java	Write a program to divide two numbers and print the result.
25	25_remainder.java	Find the remainder when one number is divided by another using % operator.
26	26_square_num.java	Calculate the square of a given number.
27	27_cube_num.java	Calculate the cube of a given number.
28	28_power_operator.java	Calculate the power of a number using the ** exponentiation operator.
29	29_increment.java	Increment a variable using the ++ operator (both pre and post).
30	30_decrement.java	Decrement a variable using the -- operator (both pre and post).
31	31_plus_assign.java	Use += operator to add a value to an existing variable.
32	32_minus_assign.java	Use -= operator to subtract a value from an existing variable.
33	33_mul_assign.java	Use *= operator to multiply a variable's value.
34	34_div_assign.java	Use /= operator to divide a variable's value.
35	35_average_three.java	Calculate the average of three numbers.
36	36_rect_area.java	Find the area of a rectangle given its length and breadth.
37	37_rect_perimeter.java	Find the perimeter of a rectangle given its length and breadth.
38	38_circle_area.java	Find the area of a circle given its radius using Math.PI.
39	39_celsius_to_fahr.java	Convert temperature from Celsius to Fahrenheit using the formula.
40	40_fahr_to_celsius.java	Convert temperature from Fahrenheit to Celsius using the formula.
41	41_compare_eq.java	Compare two numbers using == (loose equality) and print true/false.
42	42_compare_strict.java	Compare two values using === (strict equality) and observe the difference.
43	43_compare_neq.java	Compare two numbers using != operator and print the result.
44	44_compare_strict_neq.java	Compare two values using !== (strict not equal) operator.
45	45_greater_than.java	Check whether one number is greater than another using >.
46	46_less_than.java	Check whether one number is less than another using <.
47	47_greater_equal.java	Check whether a number is greater than or equal to another using >=.
48	48_less_equal.java	Check whether a number is less than or equal to another using <=.
49	49_logical_and.java	Use logical AND (&&) to check if both conditions are true.
50	50_logical_or.java	Use logical OR (||) to check if at least one condition is true.
51	51_logical_not.java	Use logical NOT (!) to reverse the value of a boolean.
52	52_between_10_100.java	Check if a number lies between 10 and 100 (inclusive).
53	53_both_positive.java	Check whether both of two given numbers are positive.
54	54_one_negative.java	Check whether at least one of two numbers is negative.
55	55_vote_eligible.java	Check if a person is eligible to vote based on age (>= 18).
56	56_driving_license.java	Check if a person can apply for a driving license based on age.
57	57_div_by_3_and_5.java	Check if a number is divisible by both 3 and 5.
